input_file,pdf_lines_json,factor,spans_preview,color,canonical_key,page,bbox,match_type,match_score,color_match,mapped_json,review_action,reviewer_notes
data/extracted/user_687_credit_summary_2025-09-01_132152_ground_truth_unvalidated.json,tmp/auto_map/user_687_credit_summary_2025-09-01_132152_ground_truth_unvalidated.pdf.lines.json,Ok Open Rev Depth,Ok Open Rev Depth...,#428f4e,ok_open_rev_depth--edf7078316,0,"[382.67999267578125, 267.85498046875, 481.7240295410156, 282.968994140625]",exact,1.00,,tmp/auto_map/user_687_credit_summary_2025-09-01_132152_ground_truth_unvalidated.mapped.json,,
data/extracted/user_687_credit_summary_2025-09-01_132152_ground_truth_unvalidated.json,tmp/auto_map/user_687_credit_summary_2025-09-01_132152_ground_truth_unvalidated.pdf.lines.json,8+ Rev Accnts with Balances,8+ Rev Accnts with Balances...,#212529,8_rev_accnts_with_balances--f42352413b,0,"[382.67999267578125, 284.864990234375, 524.8220825195312, 299.97900390625]",exact,1.00,,tmp/auto_map/user_687_credit_summary_2025-09-01_132152_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1198_credit_summary_2025-09-01_131814_ground_truth_unvalidated.json,tmp/auto_map/user_1198_credit_summary_2025-09-01_131814_ground_truth_unvalidated.pdf.lines.json,$2513 Unpaid Collection(s),$2513 Unpaid Collection(s)...,#428f4e,2513_unpaid_collection_s--a913ae6e0f,0,"[382.67999267578125, 165.8050079345703, 515.3399047851562, 180.91900634765625]",exact,1.00,,tmp/auto_map/user_1198_credit_summary_2025-09-01_131814_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1198_credit_summary_2025-09-01_131814_ground_truth_unvalidated.json,tmp/auto_map/user_1198_credit_summary_2025-09-01_131814_ground_truth_unvalidated.pdf.lines.json,Past Due Not Late,Past Due Not Late...,#428f4e,past_due_not_late--30baf3a877,0,"[382.67999267578125, 182.8150177001953, 472.56103515625, 197.92901611328125]",exact,1.00,,tmp/auto_map/user_1198_credit_summary_2025-09-01_131814_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1198_credit_summary_2025-09-01_131814_ground_truth_unvalidated.json,tmp/auto_map/user_1198_credit_summary_2025-09-01_131814_ground_truth_unvalidated.pdf.lines.json,No Open 1k+ Lines,No Open 1k+ Lines...,#dc3545,no_open_1k_lines--2ec57c8e70,0,"[382.67999267578125, 199.8250274658203, 477.14801025390625, 214.93902587890625]",exact,1.00,,tmp/auto_map/user_1198_credit_summary_2025-09-01_131814_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1198_credit_summary_2025-09-01_131814_ground_truth_unvalidated.json,tmp/auto_map/user_1198_credit_summary_2025-09-01_131814_ground_truth_unvalidated.pdf.lines.json,No Open Rev Credit Lines,No Open Rev Credit Lines...,#dc3545,no_open_rev_credit_lines--2b0765cfbd,0,"[382.67999267578125, 216.83497619628906, 511.06097412109375, 231.948974609375]",exact,1.00,,tmp/auto_map/user_1198_credit_summary_2025-09-01_131814_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1198_credit_summary_2025-09-01_131814_ground_truth_unvalidated.json,tmp/auto_map/user_1198_credit_summary_2025-09-01_131814_ground_truth_unvalidated.pdf.lines.json,1 Charged Off Accts,1 Charged Off Accts...,#dc3545,1_charged_off_accts--2f71a7aa8a,0,"[382.67999267578125, 233.84498596191406, 481.72406005859375, 248.958984375]",exact,1.00,,tmp/auto_map/user_1198_credit_summary_2025-09-01_131814_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1198_credit_summary_2025-09-01_131814_ground_truth_unvalidated.json,tmp/auto_map/user_1198_credit_summary_2025-09-01_131814_ground_truth_unvalidated.pdf.lines.json,Too Few Open Rev Accounts,Too Few Open Rev Accounts...,#dc3545,too_few_open_rev_accounts--ec1b6ece80,0,"[382.67999267578125, 250.84498596191406, 526.3510131835938, 265.958984375]",exact,1.00,,tmp/auto_map/user_1198_credit_summary_2025-09-01_131814_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1198_credit_summary_2025-09-01_131814_ground_truth_unvalidated.json,tmp/auto_map/user_1198_credit_summary_2025-09-01_131814_ground_truth_unvalidated.pdf.lines.json,Avg Age Open,Avg Age Open...,#dc3545,avg_age_open--8f2357d36a,0,"[382.67999267578125, 267.85498046875, 454.2240295410156, 282.968994140625]",exact,1.00,,tmp/auto_map/user_1198_credit_summary_2025-09-01_131814_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1198_credit_summary_2025-09-01_131814_ground_truth_unvalidated.json,tmp/auto_map/user_1198_credit_summary_2025-09-01_131814_ground_truth_unvalidated.pdf.lines.json,Seasoned Closed Accounts,Seasoned Closed Accounts...,#428f4e,seasoned_closed_accounts--de9556a1be,0,"[382.67999267578125, 284.864990234375, 517.803955078125, 299.97900390625]",exact,1.00,,tmp/auto_map/user_1198_credit_summary_2025-09-01_131814_ground_truth_unvalidated.mapped.json,,
